Date,City,State,Zone,PM2_5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
2018-01-05,Ahmedabad,Gujarat,West,103.3,213.5,29.5,43.7,2.07,73.5,236,Poor
2018-01-07,Ahmedabad,Gujarat,West,115.4,236.8,59.3,44.1,1.26,27.5,240,Poor
2018-01-07,Ahmedabad,Gujarat,West,127.4,273.6,27.5,23.6,1.31,31.8,257,Poor
2018-01-11,Ahmedabad,Gujarat,West,106.6,211.6,76.7,48.0,3.05,76.0,214,Poor
2018-01-12,Ahmedabad,Gujarat,West,84.9,140.6,38.1,48.2,3.15,16.4,237,Poor
2018-01-14,Ahmedabad,Gujarat,West,114.5,205.8,15.5,34.9,1.64,31.5,249,Poor
2018-01-16,Ahmedabad,Gujarat,West,110.9,184.8,30.2,21.0,3.17,48.0,207,Poor
2018-01-24,Ahmedabad,Gujarat,West,116.1,190.7,73.8,6.7,2.9,16.7,249,Poor
2018-01-27,Ahmedabad,Gujarat,West,115.6,225.3,68.3,28.4,3.19,45.2,241,Poor
2018-01-30,Ahmedabad,Gujarat,West,109.0,234.9,79.3,34.7,2.49,28.7,250,Poor
2018-01-31,Ahmedabad,Gujarat,West,118.9,244.7,65.3,29.1,2.28,40.6,227,Poor
2018-02-08,Ahmedabad,Gujarat,West,113.4,172.0,60.0,44.9,1.69,57.3,214,Poor
2018-02-13,Ahmedabad,Gujarat,West,119.3,226.4,37.3,37.7,2.52,55.2,241,Poor
2018-02-14,Ahmedabad,Gujarat,West,111.6,188.9,30.2,16.6,0.7,47.4,212,Poor
2018-02-18,Ahmedabad,Gujarat,West,106.9,231.0,25.3,34.7,1.02,35.7,211,Poor
2018-02-20,Ahmedabad,Gujarat,West,100.2,154.7,46.1,49.1,1.31,48.5,235,Poor
2018-02-26,Ahmedabad,Gujarat,West,84.1,167.2,79.9,19.0,2.97,36.6,220,Poor
2018-03-02,Ahmedabad,Gujarat,West,86.5,171.4,87.2,8.6,1.6,71.6,200,Moderate
2018-03-10,Ahmedabad,Gujarat,West,89.5,193.5,68.4,30.1,2.23,50.0,163,Moderate
2018-03-11,Ahmedabad,Gujarat,West,61.8,127.6,46.5,11.7,1.76,27.9,150,Moderate
2018-03-17,Ahmedabad,Gujarat,West,79.6,158.5,35.9,12.2,1.73,60.3,163,Moderate
2018-03-23,Ahmedabad,Gujarat,West,56.5,109.9,62.8,18.0,0.84,25.2,125,Moderate
2018-03-26,Ahmedabad,Gujarat,West,49.4,104.9,89.8,20.8,2.71,19.3,136,Moderate
2018-04-11,Ahmedabad,Gujarat,West,66.0,127.5,75.2,25.4,1.58,78.3,165,Moderate
2018-04-12,Ahmedabad,Gujarat,West,70.0,111.3,66.5,16.5,2.45,53.9,168,Moderate
2018-04-16,Ahmedabad,Gujarat,West,92.4,183.5,14.4,17.8,2.94,20.2,204,Poor
